lat,lon,alt,roll,pitch,yaw,vn,ve,vf,vl,vu,ax,ay,ay,af,al,au,wx,wy,wz,wf,wl,wu,pos_accuracy,vel_accuracy,navstat,numsats,posmode,velmode,orimode
48.942723370359,8.4143727352566,148.79058837891,-0.030761,0.092302,2.2848513267949,2.1715884882562,-2.0893702105614,3.0130932625203,-0.074037081506748,-0.22250836563066,-1.2306165698102,-1.1137805682449,9.661433062695,-0.32819150357206,-0.82627510635947,9.7626877796194,0.026039181425171,0.007240863479791,-0.47696044821257,-0.018225472734277,-0.006942991763649,-0.47733682302186,0.3635519220139,0.034655446902327,4,12,4,4,0
48.942725307712,8.4143701055399,148.75022888184,-0.036372,0.091567,2.2348523267949,2.2228928340057,-1.985336621571,2.9791819102846,-0.10903316900164,-0.23707520581012,-1.1044515289343,-1.7076917426597,9.5327360236615,-0.21985519255007,-1.3877430939878,9.6463048506861,-0.0055425472154718,0.01042775482403,-0.49392859924955,-0.050863935167356,-0.0061307586077211,-0.49142077070027,0.3635519220139,0.034655446902327,4,12,4,4,0
48.942727506179,8.4143674741001,148.69506835938,-0.040952,0.091129,2.1795263267949,2.3101653037026,-1.8220735756174,2.94248526969,-0.08941015101255,-0.24773954102251,-1.2135379093333,-2.033740451915,9.769667557228,-0.31096618815133,-1.6547088100424,9.9108239559237,0.0042885887317869,0.016120173329916,-0.4996205784458,-0.041319061765394,-0.0031873012535969,-0.49818593109295,0.3635519220139,0.034655446902327,4,12,4,4,0
48.942729584207,8.4143652756883,148.65286254883,-0.043591,0.091488,2.1279973267949,2.369738193406,-1.6822150485796,2.9061221503108,-0.089245164502595,-0.21820754928631,-1.1961288197399,-1.7428458712754,10.002735022509,-0.27353976859814,-1.3224710388046,10.133806233336,0.016345311513141,0.025372668503771,-0.51173193893461,-0.030427414969919,0.0039167641215614,-0.5117106221662,0.3635519220139,0.034655446902327,4,12,4,4,0
48.942731886634,8.4143630560135,148.6153717041,-0.048707,0.092626,2.0695763267949,2.4165491309112,-1.5391448337714,2.8641905746898,-0.10897699708806,-0.19450834994151,-1.1442403024413,-1.8235462418183,9.6922783610826,-0.24003971976316,-1.3744988736983,9.8300984613264,0.0043494236572418,0.03171234794125,-0.52655352617185,-0.044250977149337,0.0073425614964476,-0.52561135358678,0.36141527361195,0.033241540277189,4,12,4,4,0
48.942734061948,8.4143612316135,148.58207702637,-0.054463,0.090965,2.0151533267949,2.4779307626711,-1.4021018365905,2.8463207339871,-0.11301803959374,-0.2139983850692,-0.8709533188232,-2.1156516980501,9.4843053515402,0.010981897726699,-1.6263678522464,9.6204890043367,-0.0056265111492256,0.013119469417548,-0.53968129760918,-0.055070295242436,-0.014611963955858,-0.53682097237955,0.36141527361195,0.033241540277189,4,12,4,4,0
48.942736303896,8.4143595963496,148.54885864258,-0.056054,0.086575,1.9604243267949,2.5543215129426,-1.2484025407649,2.8433062866448,-0.096767463763737,-0.22126120738723,-0.83728537054267,-2.3022542379155,9.7294209396147,0.039066417529553,-1.7643465222993,9.8768856778609,0.028615039159669,-0.010215960740812,-0.54425030030321,-0.019666383444126,-0.040090166967696,-0.54320142638555,0.36141527361195,0.033241540277189,4,12,4,4,0
48.942738599209,8.4143581850497,148.51344299316,-0.056041,0.080092,1.9070573267949,2.6233673373882,-1.0890164320248,2.8413190343877,-0.076467323205034,-0.21781175797102,-0.77089156963716,-2.1437212768721,9.700127315232,0.050456081108051,-1.5990389958802,9.8348459029752,0.041032366912439,-0.031771396274918,-0.53488507083934,-0.0035706223151069,-0.061569493048037,-0.53381014146821,0.36141527361195,0.033241540277189,4,12,4,4,0
48.942741214307,8.4143567936901,148.48574829102,-0.056627,0.072757,1.8491123267949,2.6873328431379,-0.94728061231096,2.8494153389032,-0.08770103929914,-0.20107826788966,-0.52208802020626,-1.8998513549301,9.8534314876488,0.23872773811448,-1.3424885623175,9.9560278157011,0.034485865124197,-0.035023408670096,-0.52833051269884,-0.0057566697402747,-0.064690408007246,-0.52662642873126,0.36141527361195,0.033241540277189,4,12,4,4,0
48.942743645893,8.4143557452436,148.45042419434,-0.057696,0.066765,1.7983163267949,2.7486489238807,-0.81783497358152,2.8675183418557,-0.094452981812616,-0.21185563054221,-0.41548468193818,-1.9400825990868,9.3405704146993,0.24868409432706,-1.404368909289,9.442064602036,0.024607692648249,-0.031881118660279,-0.51054974762299,-0.011129901869446,-0.060941495968689,-0.50839299740476,0.36141527361195,0.033241540277189,4,12,4,4,0
